class,분류,코드,음 식 명,중량(g),에너지(kcal),탄수화물(g),단백질(g),지방(g),나트륨(mg),당류(g),칼슘(mg),인(mg),칼륨(mg),마그네슘(mg),철(mg),아연(mg),콜레스테롤(mg),트랜스지방(g),,
97,면류02,02-012-001,고기만두,250.00 ,454.39 ,55.33 ,18.66 ,18.25 ,888.80 ,0.00 ,121.64 ,234.64 ,767.34 ,-,4.19 ,3.09 ,21.00 ,0.00 ,,
98,면류02,02-012-002,군만두,250.00 ,684.42 ,76.17 ,19.77 ,31.18 ,983.70 ,0.00 ,53.38 ,281.62 ,595.03 ,-,4.85 ,2.66 ,36.00 ,0.00 ,,
99,면류02,02-012-003,김치만두,250.00 ,424.64 ,60.79 ,18.43 ,13.10 ,961.97 ,0.00 ,91.73 ,271.18 ,1181.77 ,-,5.54 ,2.82 ,20.28 ,0.00 ,,
100,면류02,02-012-004,물만두,120.00 ,158.05 ,20.48 ,5.86 ,5.84 ,269.52 ,0.00 ,27.60 ,81.86 ,259.71 ,-,1.42 ,0.79 ,7.59 ,0.00 ,,
101,면류02,02-012-005,만둣국,700.00 ,432.62 ,53.28 ,19.24 ,14.92 ,2356.67 ,0.00 ,163.29 ,300.75 ,1202.84 ,-,5.03 ,2.14 ,94.22 ,0.00 ,,
102,죽류03,03-011-001,게살죽,800.00 ,554.24 ,103.59 ,18.15 ,7.63 ,1533.96 ,0.00 ,160.00 ,235.91 ,857.06 ,-,7.49 ,3.30 ,40.87 ,0.00 ,,
103,죽류03,03-011-002,깨죽,800.00 ,505.68 ,71.13 ,13.43 ,18.94 ,1212.27 ,0.00 ,407.88 ,262.36 ,186.59 ,-,6.32 ,5.07 ,0.00 ,0.00 ,,
104,죽류03,03-011-003,닭죽,1000.00 ,1181.71 ,92.53 ,75.93 ,48.18 ,789.79 ,0.00 ,116.55 ,584.82 ,1290.97 ,-,9.84 ,5.55 ,271.44 ,0.00 ,,
105,죽류03,03-011-004,소고기버섯죽,800.00 ,573.24 ,102.93 ,20.52 ,6.46 ,1263.62 ,0.00 ,31.25 ,288.76 ,504.51 ,-,2.20 ,4.33 ,29.32 ,0.00 ,,
106,죽류03,03-011-005,어죽,800.00 ,559.27 ,90.47 ,15.53 ,6.08 ,1621.29 ,0.00 ,368.79 ,369.06 ,450.21 ,-,4.83 ,3.13 ,75.77 ,0.00 ,,
107,죽류03,03-011-006,잣죽,700.00 ,872.61 ,153.79 ,15.79 ,20.29 ,850.63 ,0.00 ,15.33 ,196.78 ,296.54 ,-,4.23 ,4.52 ,0.00 ,0.00 ,,
108,죽류03,03-011-007,전복죽,800.00 ,587.29 ,105.04 ,14.57 ,11.45 ,1423.93 ,0.00 ,75.23 ,269.71 ,405.90 ,-,2.32 ,2.53 ,45.15 ,0.00 ,,
109,죽류03,03-011-008,참치죽,800.00 ,658.46 ,105.94 ,26.08 ,13.85 ,1264.15 ,0.00 ,63.78 ,341.28 ,851.65 ,-,4.98 ,2.54 ,40.76 ,0.00 ,,
110,죽류03,03-011-009,채소죽,800.00 ,514.83 ,100.80 ,11.89 ,5.13 ,1211.63 ,0.00 ,227.26 ,290.18 ,1377.63 ,-,2.73 ,2.51 ,24.29 ,0.00 ,,
111,죽류03,03-011-010,팥죽,600.00 ,482.65 ,100.74 ,20.59 ,0.56 ,1026.11 ,4.79 ,91.00 ,76.74 ,940.82 ,-,6.03 ,5.15 ,0.00 ,0.00 ,,
112,죽류03,03-011-011,호박죽,600.00 ,430.33 ,111.41 ,8.11 ,0.72 ,911.72 ,25.78 ,18.17 ,165.36 ,1858.90 ,-,1.98 ,2.58 ,0.00 ,0.00 ,,
113,죽류03,03-012-001,콘스프,400.00 ,280.48 ,35.37 ,5.82 ,14.02 ,1319.46 ,0.00 ,-,-,-,-,-,-,40.71 ,0.00 ,,
114,죽류03,03-012-002,토마토스프,400.00 ,382.41 ,12.42 ,18.20 ,25.40 ,1544.31 ,0.00 ,-,-,-,-,-,-,70.80 ,0.00 ,,
115,국찌개류04,04-011-001,굴국,450.00 ,194.42 ,11.44 ,22.80 ,8.65 ,1775.97 ,0.00 ,270.97 ,400.97 ,759.15 ,-,5.72 ,13.61 ,45.00 ,0.00 ,,
116,국찌개류04,04-011-002,김치국,450.00 ,86.00 ,13.01 ,6.03 ,3.38 ,1646.15 ,0.00 ,111.35 ,144.88 ,580.19 ,-,1.92 ,1.17 ,0.00 ,0.00 ,,
117,국찌개류04,04-011-003,달걀국,450.00 ,193.04 ,5.35 ,16.19 ,11.11 ,1263.96 ,0.00 ,65.75 ,225.20 ,229.57 ,-,2.08 ,1.81 ,641.25 ,0.00 ,,
118,국찌개류04,04-011-004,감자국,700.00 ,220.07 ,37.01 ,17.00 ,2.16 ,1734.15 ,0.00 ,466.58 ,462.60 ,1855.32 ,-,5.33 ,2.70 ,87.78 ,0.00 ,,
119,국찌개류04,04-011-005,미역국,500.00 ,50.17 ,4.70 ,2.70 ,4.35 ,1527.55 ,0.00 ,112.70 ,43.92 ,658.72 ,-,1.11 ,0.45 ,0.00 ,0.00 ,,
120,국찌개류04,04-011-006,바지락조개국,550.00 ,159.25 ,8.51 ,25.83 ,1.84 ,1650.85 ,0.00 ,168.95 ,388.49 ,580.06 ,-,29.46 ,2.30 ,145.20 ,0.00 ,,
121,국찌개류04,04-011-007,소고기무국,400.00 ,125.22 ,8.14 ,13.51 ,4.72 ,1095.18 ,0.00 ,60.64 ,131.53 ,662.83 ,-,3.99 ,1.71 ,28.56 ,0.00 ,,
122,국찌개류04,04-011-008,소고기미역국,650.00 ,154.93 ,6.91 ,20.23 ,6.83 ,2006.88 ,0.00 ,123.38 ,207.13 ,912.73 ,-,3.57 ,6.06 ,41.34 ,0.00 ,,
123,국찌개류04,04-011-010,순대국,800.00 ,550.66 ,22.82 ,41.22 ,32.94 ,1532.59 ,0.00 ,125.03 ,208.53 ,592.34 ,-,10.79 ,4.42 ,774.77 ,0.00 ,,
124,국찌개류04,04-011-011,어묵국,600.00 ,252.09 ,37.16 ,22.85 ,4.21 ,2022.74 ,0.00 ,599.25 ,468.04 ,1696.27 ,-,6.77 ,2.77 ,100.37 ,0.00 ,,
125,국찌개류04,04-011-012,오징어국,500.00 ,169.04 ,10.60 ,27.74 ,2.36 ,1573.42 ,0.00 ,81.87 ,409.10 ,810.71 ,-,2.35 ,2.75 ,296.40 ,0.00 ,,
126,국찌개류04,04-011-013,토란국,250.00 ,462.97 ,85.16 ,23.89 ,7.07 ,700.67 ,0.00 ,318.35 ,465.37 ,2625.19 ,-,5.65 ,2.69 ,37.73 ,0.00 ,,
127,국찌개류04,04-011-014,탕국,250.00 ,94.24 ,2.58 ,12.08 ,4.32 ,663.05 ,0.00 ,286.05 ,220.64 ,250.61 ,-,3.60 ,1.27 ,35.48 ,0.00 ,,
128,국찌개류04,04-011-015,홍합미역국,650.00 ,168.88 ,14.13 ,19.99 ,6.43 ,2066.27 ,0.00 ,289.38 ,226.28 ,1549.68 ,-,11.10 ,3.01 ,79.63 ,0.00 ,,
129,국찌개류04,04-011-016,황태해장국,600.00 ,184.22 ,6.39 ,25.21 ,7.22 ,1526.82 ,0.00 ,156.40 ,314.21 ,661.33 ,-,2.19 ,1.00 ,91.61 ,0.00 ,,
130,국찌개류04,04-012-001,근대된장국,450.00 ,109.26 ,8.14 ,15.31 ,3.21 ,1453.19 ,0.00 ,621.10 ,436.37 ,1211.00 ,-,6.12 ,2.37 ,112.86 ,0.00 ,,
131,국찌개류04,04-012-002,미소된장국,150.00 ,37.97 ,1.70 ,4.14 ,1.75 ,511.98 ,0.00 ,98.58 ,88.75 ,156.73 ,-,1.38 ,0.54 ,15.68 ,0.00 ,,
132,국찌개류04,04-012-003,배추된장국,700.00 ,121.53 ,11.04 ,13.96 ,3.63 ,2321.48 ,0.00 ,103.80 ,172.07 ,771.84 ,-,3.53 ,4.54 ,25.97 ,0.00 ,,
133,국찌개류04,04-012-004,뼈다귀해장국 ,1000.00 ,715.98 ,29.71 ,53.63 ,45.37 ,3093.60 ,0.00 ,239.71 ,412.34 ,1676.56 ,-,5.57 ,5.22 ,216.24 ,0.00 ,,
134,국찌개류04,04-012-005,선지(해장)국,1000.00 ,314.42 ,22.29 ,48.10 ,5.03 ,3053.19 ,0.00 ,84.31 ,105.25 ,684.10 ,-,106.24 ,13.76 ,149.60 ,0.00 ,,
135,국찌개류04,04-012-006,콩나물국,400.00 ,22.53 ,1.26 ,1.82 ,1.42 ,752.43 ,0.00 ,33.49 ,44.86 ,82.80 ,8.52 ,0.48 ,0.25 ,7.41 ,0.00 ,,
136,국찌개류04,04-012-007,시금치된장국,400.00 ,121.45 ,9.90 ,16.69 ,3.39 ,1381.25 ,0.00 ,624.97 ,444.76 ,1324.58 ,-,7.28 ,2.60 ,117.04 ,0.00 ,,
137,국찌개류04,04-012-008,시래기된장국,450.00 ,99.12 ,10.68 ,10.02 ,2.54 ,1535.63 ,0.00 ,392.83 ,223.42 ,484.55 ,-,4.40 ,1.98 ,37.62 ,0.00 ,,
138,국찌개류04,04-012-009,쑥된장국,450.00 ,117.32 ,17.17 ,13.21 ,2.55 ,1799.60 ,0.00 ,502.74 ,317.04 ,1434.72 ,-,5.95 ,1.83 ,68.97 ,0.00 ,,
139,국찌개류04,04-012-010,아욱된장국,450.00 ,103.53 ,9.96 ,12.00 ,2.94 ,1462.13 ,0.00 ,292.99 ,262.60 ,850.83 ,-,4.14 ,1.82 ,37.62 ,0.00 ,,
140,국찌개류04,04-012-011,우거지된장국,450.00 ,85.97 ,13.72 ,6.44 ,1.81 ,1593.99 ,0.00 ,89.30 ,122.06 ,611.84 ,-,1.51 ,1.44 ,0.00 ,0.00 ,,
141,국찌개류04,04-012-012,우거지해장국,600.00 ,158.50 ,14.86 ,14.19 ,5.73 ,1972.09 ,0.00 ,103.79 ,237.17 ,664.72 ,-,3.24 ,2.45 ,13.26 ,0.00 ,,
142,국찌개류04,04-012-013,우렁된장국,500.00 ,245.28 ,21.19 ,24.72 ,7.05 ,2150.43 ,0.00 ,2105.30 ,270.93 ,745.05 ,-,11.11 ,5.04 ,22.95 ,0.00 ,,
143,국찌개류04,04-013-002,갈비탕,600.00 ,240.40 ,8.21 ,18.67 ,14.33 ,1688.43 ,0.00 ,55.31 ,204.57 ,556.91 ,-,2.64 ,4.06 ,189.84 ,0.00 ,,
144,국찌개류04,04-013-003,감자탕,900.00 ,963.71 ,49.64 ,60.55 ,58.28 ,2439.38 ,0.90 ,628.48 ,767.84 ,2414.90 ,-,6.69 ,8.08 ,143.69 ,0.00 ,,
145,국찌개류04,04-013-004,곰탕,300.00 ,181.42 ,15.50 ,16.59 ,5.44 ,713.64 ,0.00 ,43.10 ,148.34 ,425.65 ,-,3.89 ,1.97 ,33.66 ,0.00 ,,
146,국찌개류04,04-013-005,매운탕,600.00 ,402.79 ,18.83 ,37.16 ,21.56 ,2130.95 ,1.55 ,118.30 ,437.09 ,1522.50 ,-,3.33 ,2.62 ,148.77 ,0.00 ,,
147,국찌개류04,04-013-006,꼬리곰탕,700.00 ,750.69 ,10.93 ,54.87 ,52.80 ,764.73 ,0.00 ,96.77 ,552.81 ,817.96 ,-,6.39 ,12.24 ,361.23 ,0.00 ,,
148,국찌개류04,04-013-007,꽃게탕,600.00 ,240.65 ,20.77 ,31.70 ,5.49 ,2268.86 ,0.00 ,273.97 ,443.04 ,1369.60 ,-,8.64 ,8.32 ,207.90 ,0.00 ,,
149,국찌개류04,04-013-008,낙지탕,600.00 ,186.10 ,11.77 ,29.21 ,2.73 ,1711.12 ,0.00 ,102.32 ,375.39 ,910.30 ,-,3.26 ,4.49 ,249.60 ,0.00 ,,
150,국찌개류04,04-013-009,내장탕,700.00 ,549.81 ,13.70 ,56.97 ,31.51 ,2383.07 ,0.00 ,268.48 ,559.43 ,1241.55 ,-,12.92 ,14.23 ,467.04 ,0.00 ,,
151,국찌개류04,04-013-010,닭곰탕,650.00 ,527.70 ,15.39 ,58.88 ,24.14 ,1005.19 ,0.00 ,119.61 ,757.38 ,1691.63 ,-,11.65 ,6.83 ,230.49 ,0.00 ,,
152,국찌개류04,04-013-011,닭볶음탕,300.00 ,371.81 ,19.17 ,33.85 ,17.32 ,1030.46 ,2.02 ,39.84 ,352.90 ,638.99 ,-,2.74 ,4.17 ,119.25 ,0.00 ,,
153,국찌개류04,04-013-012,지리탕,600.00 ,260.59 ,10.52 ,38.34 ,8.36 ,1685.16 ,0.00 ,199.84 ,475.82 ,1581.45 ,-,2.58 ,1.87 ,154.15 ,0.00 ,,
154,국찌개류04,04-013-013,도가니탕,800.00 ,563.65 ,5.58 ,54.60 ,34.77 ,599.27 ,0.00 ,59.71 ,506.07 ,725.61 ,-,5.44 ,13.28 ,192.64 ,0.00 ,,
155,국찌개류04,04-013-014,삼계탕,1000.00 ,881.32 ,44.08 ,76.65 ,40.57 ,1211.32 ,0.00 ,58.97 ,742.37 ,439.92 ,-,5.27 ,9.61 ,285.00 ,0.00 ,,
156,국찌개류04,04-013-015,설렁탕,600.00 ,422.76 ,10.94 ,52.71 ,18.20 ,725.16 ,0.00 ,86.91 ,449.85 ,432.48 ,-,4.10 ,22.22 ,219.36 ,0.00 ,,
157,국찌개류04,04-013-017,알탕,700.00 ,424.13 ,49.52 ,49.21 ,6.98 ,2393.29 ,14.85 ,114.43 ,790.97 ,1469.80 ,-,7.34 ,3.95 ,610.80 ,0.00 ,,
158,국찌개류04,04-013-018,연포탕,1000.00 ,541.19 ,21.64 ,91.65 ,9.20 ,2307.07 ,0.00 ,366.68 ,1171.55 ,2367.60 ,-,33.14 ,10.65 ,844.00 ,0.00 ,,
159,국찌개류04,04-013-019,오리탕,600.00 ,480.82 ,24.16 ,43.21 ,21.64 ,1849.93 ,1.03 ,89.10 ,478.58 ,810.86 ,-,7.43 ,5.20 ,161.70 ,0.00 ,,
160,국찌개류04,04-013-020,추어탕,700.00 ,338.67 ,24.42 ,37.37 ,11.51 ,2077.15 ,1.81 ,1598.50 ,975.90 ,906.87 ,-,24.70 ,6.80 ,298.48 ,0.00 ,,
161,국찌개류04,04-013-021,해물탕,600.00 ,272.26 ,19.58 ,41.74 ,3.38 ,2071.99 ,1.55 ,233.74 ,554.88 ,1218.54 ,-,8.02 ,7.88 ,350.22 ,0.00 ,,
162,국찌개류04,04-013-022,닭개장,700.00 ,317.07 ,19.18 ,33.74 ,14.95 ,1786.03 ,0.00 ,87.85 ,388.18 ,1057.87 ,-,5.37 ,4.73 ,96.90 ,0.00 ,,
163,국찌개류04,04-013-023,육개장,440.00 ,137.86 ,11.62 ,13.44 ,5.87 ,1112.78 ,0.00 ,61.90 ,145.84 ,719.33 ,-,4.13 ,2.05 ,24.23 ,0.00 ,,
164,국찌개류04,04-013-024,뼈해장국,1000.00 ,692.93 ,25.42 ,67.92 ,37.16 ,3192.46 ,0.00 ,564.57 ,609.13 ,1299.07 ,-,33.51 ,13.37 ,634.20 ,0.00 ,,
165,국찌개류04,04-014-001,미역오이냉국,450.00 ,77.35 ,19.74 ,5.61 ,1.35 ,1483.60 ,8.99 ,214.70 ,209.88 ,1520.12 ,-,2.77 ,1.22 ,0.00 ,0.00 ,,
166,국찌개류04,04-015-001,고등어찌개,600.00 ,605.31 ,32.03 ,59.16 ,28.20 ,2599.71 ,0.00 ,185.01 ,768.30 ,2013.06 ,-,8.45 ,4.23 ,206.64 ,0.00 ,,
167,국찌개류04,04-015-002,꽁치찌개,300.00 ,356.63 ,14.48 ,29.51 ,20.69 ,1296.33 ,0.72 ,111.69 ,388.58 ,705.67 ,-,4.25 ,1.82 ,84.48 ,0.00 ,,
168,국찌개류04,04-015-003,동태찌개,800.00 ,369.69 ,18.94 ,59.57 ,7.80 ,2487.54 ,1.38 ,262.75 ,789.14 ,1573.10 ,-,4.74 ,2.39 ,292.66 ,0.00 ,,
169,국찌개류04,04-016-001,부대찌개,600.00 ,525.98 ,46.81 ,27.71 ,28.48 ,2689.19 ,0.00 ,140.65 ,344.39 ,880.56 ,-,4.05 ,3.91 ,42.96 ,0.00 ,,
170,국찌개류04,04-017-001,된장찌개,400.00 ,147.06 ,15.98 ,11.71 ,5.27 ,2021.78 ,0.00 ,112.69 ,194.76 ,429.75 ,-,1.93 ,1.62 ,0.00 ,0.00 ,,
171,국찌개류04,04-017-002,청국장찌개,400.00 ,275.46 ,14.97 ,25.84 ,14.43 ,1839.75 ,0.00 ,180.64 ,423.48 ,947.12 ,-,4.94 ,4.38 ,36.00 ,0.00 ,,
172,국찌개류04,04-018-001,두부전골,500.00 ,315.11 ,16.20 ,29.15 ,19.15 ,1651.53 ,0.86 ,365.91 ,441.10 ,807.05 ,-,6.07 ,3.35 ,0.00 ,0.00 ,,
173,국찌개류04,04-018-002,곱창전골,600.00 ,532.65 ,26.89 ,38.35 ,34.73 ,1750.42 ,0.00 ,331.71 ,536.76 ,1145.13 ,-,8.70 ,5.29 ,230.70 ,0.00 ,,
174,국찌개류04,04-018-003,소고기전골,300.00 ,203.22 ,16.55 ,19.47 ,7.54 ,1090.15 ,0.00 ,117.80 ,242.39 ,690.67 ,-,4.07 ,5.31 ,31.80 ,0.00 ,,
175,국찌개류04,04-018-004,국수전골,400.00 ,643.16 ,66.93 ,45.29 ,22.39 ,1524.63 ,4.00 ,81.60 ,392.16 ,1539.30 ,-,10.98 ,5.10 ,81.60 ,0.00 ,,
176,국찌개류04,04-019-001,돼지고기김치찌개,400.00 ,246.29 ,9.33 ,15.50 ,18.26 ,1961.48 ,0.00 ,136.71 ,235.53 ,725.94 ,-,2.48 ,2.14 ,25.30 ,0.00 ,,
177,국찌개류04,04-019-002,버섯찌개,400.00 ,171.86 ,15.26 ,16.64 ,7.52 ,1267.81 ,0.00 ,165.60 ,283.02 ,735.96 ,-,3.95 ,2.38 ,0.00 ,0.00 ,,
178,국찌개류04,04-019-003,참치김치찌개,400.00 ,193.58 ,13.33 ,16.86 ,10.89 ,2604.45 ,0.00 ,200.50 ,283.60 ,795.12 ,-,4.38 ,1.72 ,35.44 ,0.00 ,,
179,국찌개류04,04-019-004,순두부찌개,400.00 ,198.47 ,8.78 ,14.72 ,14.03 ,1331.31 ,0.00 ,135.17 ,218.60 ,547.85 ,-,2.81 ,1.56 ,6.60 ,0.00 ,,
180,국찌개류04,04-019-005,콩비지찌개,400.00 ,248.66 ,24.52 ,15.96 ,12.81 ,1206.33 ,0.00 ,136.41 ,146.02 ,496.65 ,-,5.05 ,1.89 ,27.06 ,0.00 ,,
181,국찌개류04,04-019-006,햄김치찌개,300.00 ,190.47 ,15.44 ,11.63 ,10.68 ,1527.82 ,0.00 ,116.53 ,220.24 ,482.93 ,-,2.14 ,1.64 ,23.37 ,0.00 ,,
182,국찌개류04,04-019-007,호박찌개,300.00 ,98.30 ,12.74 ,7.78 ,2.34 ,1028.15 ,2.06 ,194.84 ,234.99 ,652.01 ,-,3.28 ,0.91 ,59.28 ,0.00 ,,
183,국찌개류04,04-019-008,고추장찌개,500.00 ,263.44 ,20.08 ,25.62 ,12.35 ,935.15 ,0.00 ,498.01 ,494.09 ,863.40 ,-,5.95 ,3.21 ,48.15 ,0.00 ,,
184,찜류05,05-011-001,대구찜,500.00 ,372.68 ,26.43 ,54.08 ,8.43 ,1888.04 ,0.00 ,223.85 ,660.75 ,1899.74 ,-,4.99 ,2.83 ,196.35 ,0.00 ,,
185,찜류05,05-011-002,도미찜,100.00 ,126.31 ,0.76 ,21.01 ,3.68 ,882.04 ,0.00 ,41.55 ,274.14 ,420.22 ,3.24 ,1.10 ,0.79 ,191.25 ,0.00 ,,
186,찜류05,05-011-004,문어숙회,80.00 ,67.49 ,0.18 ,14.14 ,0.73 ,222.83 ,0.00 ,28.32 ,171.46 ,273.75 ,-,0.91 ,1.46 ,116.74 ,0.00 ,,
187,찜류05,05-011-008,아귀찜,400.00 ,310.70 ,17.59 ,48.85 ,6.68 ,1463.31 ,0.00 ,161.73 ,619.16 ,1467.53 ,-,11.42 ,3.75 ,187.42 ,0.00 ,,
188,찜류05,05-011-010,조기찜,100.00 ,185.25 ,1.81 ,22.27 ,9.20 ,631.89 ,0.34 ,45.63 ,214.85 ,471.25 ,0.73 ,1.19 ,1.01 ,105.74 ,0.00 ,,
189,찜류05,05-011-011,참꼬막,80.00 ,89.77 ,4.92 ,12.98 ,2.17 ,400.23 ,1.60 ,101.70 ,212.15 ,329.75 ,-,6.13 ,2.17 ,46.99 ,0.00 ,,
190,찜류05,05-011-012,해물찜,500.00 ,397.38 ,36.02 ,50.28 ,8.94 ,2213.44 ,0.00 ,264.59 ,657.53 ,1440.41 ,-,16.39 ,5.54 ,323.98 ,0.00 ,,
191,찜류05,05-012-001,소갈비찜,250.00 ,500.45 ,11.31 ,42.55 ,29.17 ,768.42 ,0.00 ,22.99 ,385.49 ,749.09 ,-,3.65 ,9.21 ,141.83 ,0.00 ,,
192,찜류05,05-012-002,돼지갈비찜,170.10 ,249.70 ,8.82 ,20.57 ,14.42 ,946.68 ,1.76 ,30.95 ,243.75 ,391.57 ,-,1.10 ,2.69 ,70.38 ,0.00 ,,
193,찜류05,05-012-003,돼지고기수육,300.00 ,1218.19 ,8.69 ,61.47 ,99.52 ,389.53 ,0.00 ,66.90 ,483.60 ,769.52 ,-,3.65 ,8.62 ,191.40 ,0.00 ,,
194,찜류05,05-012-004,찜닭,1500.00 ,1358.38 ,140.64 ,114.90 ,36.54 ,5290.09 ,57.52 ,232.94 ,703.36 ,2290.16 ,-,9.75 ,7.53 ,341.64 ,0.00 ,,
195,찜류05,05-012-005,족발,150.00 ,381.57 ,32.30 ,26.02 ,16.62 ,839.14 ,0.00 ,38.29 ,165.47 ,338.54 ,-,2.69 ,1.58 ,98.00 ,0.00 ,,
